case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,prepare_meat_last_week,drink_soda,exercise_frequency_last_week,fast_food_frequency_last_week,prepare_milk_last_week,fast_food_yesterday,drink_diet_soda,eating_duration_24,activity_list,year
20150101150018,0.0,2.0,60.0,,15503433.374526998,1.0,1.0,3.0,0,50,1.0,161.0,0.0,31.4,1.0,0.0,5,0,0.0,3,,,,2015
20150101150053,1.0,2.0,73.0,1.0,3071195.852821,2.0,1.0,1.0,0,120,0.0,195.0,0.0,25.7,1.0,,4,2,0.0,0,,,,2015
20150101150071,0.0,1.0,65.0,,5194082.929101001,1.0,1.0,3.0,-2,50,1.0,178.0,,29.6,1.0,0.0,0,2,0.0,0,,,,2015
20150101150146,0.0,4.0,63.0,,13138380.214118,,1.0,1.0,30,95,1.0,132.0,1.0,23.4,1.0,1.0,6,1,0.0,0,0.0,30.0,25,2015
20150101150147,0.0,2.0,70.0,,8496301.910912,1.0,1.0,1.0,5,140,1.0,250.0,1.0,35.9,1.0,1.0,0,5,0.0,1,1.0,5.0,7,2015
20150101150184,0.0,4.0,71.0,1.0,5273977.616545,1.0,1.0,3.0,0,45,0.0,230.0,0.0,32.1,1.0,,10,1,0.0,1,,,,2015
20150101150500,0.0,4.0,70.0,,10002494.505878,1.0,3.0,2.0,2,105,1.0,210.0,1.0,30.1,,1.0,0,0,,3,1.0,2.0,"13,20",2015
20150101150523,0.0,4.0,72.0,,7520144.277214,1.0,1.0,1.0,32,30,0.0,250.0,1.0,33.9,1.0,,4,1,0.0,0,,32.0,"6,14,22",2015
20150101150535,1.0,2.0,69.0,2.0,5029926.197817,2.0,3.0,2.0,0,60,1.0,178.0,0.0,26.3,,1.0,1,3,,1,0.0,,,2015
20150101150539,0.0,4.0,66.0,,7986006.1591529995,1.0,2.0,2.0,10,90,0.0,140.0,1.0,22.6,1.0,,7,3,0.0,0,,10.0,"4,6",2015
20150101150572,0.0,4.0,61.0,,1571676.8507309998,,1.0,1.0,0,150,0.0,150.0,0.0,28.3,0.0,,0,0,0.0,3,,,,2015
20150101150578,1.0,4.0,62.0,2.0,2419313.0111060003,2.0,1.0,1.0,5,30,1.0,125.0,1.0,22.9,1.0,0.0,8,2,0.0,1,,5.0,"19,22",2015
20150101150601,0.0,2.0,70.0,,2099785.021995,1.0,1.0,1.0,0,80,0.0,,0.0,,1.0,,3,0,0.0,3,,,,2015
20150101150607,0.0,3.0,61.0,1.0,3338511.7439349997,2.0,1.0,1.0,0,35,1.0,166.0,0.0,31.4,1.0,1.0,0,0,0.0,3,0.0,,,2015
20150101150615,1.0,3.0,69.0,2.0,6181948.389388,2.0,3.0,3.0,0,180,0.0,180.0,0.0,26.6,,,6,0,,3,,,,2015
20150101150628,0.0,3.0,66.0,,3373770.465199,1.0,1.0,1.0,10,130,1.0,135.0,1.0,21.8,1.0,0.0,0,0,0.0,3,,10.0,17,2015
20150101150641,1.0,3.0,64.0,2.0,11028495.506318,2.0,1.0,1.0,0,110,1.0,172.0,0.0,29.5,1.0,0.0,3,0,0.0,3,,,,2015
20150101150677,0.0,5.0,70.0,,2047238.3781080001,1.0,1.0,1.0,35,10,1.0,175.0,1.0,25.1,1.0,0.0,7,0,0.0,3,,35.0,"19,27",2015
20150101150678,0.0,4.0,62.0,,4649018.229133001,1.0,2.0,1.0,25,25,1.0,160.0,1.0,29.3,1.0,0.0,2,2,0.0,0,,25.0,"20,28",2015
20150101150697,0.0,3.0,77.0,,4120611.636305,1.0,1.0,1.0,10,120,1.0,235.0,1.0,27.9,1.0,0.0,4,0,0.0,3,,10.0,9,2015
20150101150699,0.0,3.0,61.0,,6972922.628667999,1.0,1.0,1.0,0,90,0.0,134.0,0.0,25.3,1.0,,0,0,0.0,3,,,,2015
20150101150702,0.0,5.0,66.0,,2883214.549015,2.0,3.0,3.0,10,315,0.0,,1.0,,,,0,3,,0,,10.0,11,2015
20150101150735,0.0,5.0,69.0,,8412369.715756,1.0,1.0,1.0,0,105,1.0,150.0,0.0,22.1,1.0,1.0,5,2,0.0,0,1.0,,,2015
20150101150748,0.0,4.0,63.0,,8756012.331094,1.0,1.0,1.0,0,85,1.0,125.0,0.0,22.1,1.0,0.0,6,2,0.0,0,,,,2015
20150101150756,0.0,4.0,70.0,,9198230.369874,,2.0,3.0,0,155,1.0,196.0,0.0,28.1,0.0,0.0,7,0,0.0,3,,,,2015
20150101150787,0.0,2.0,70.0,1.0,16332387.617904,2.0,1.0,1.0,105,135,1.0,195.0,1.0,28.0,1.0,0.0,2,0,0.0,3,,105.0,"23,24",2015
20150101150794,0.0,5.0,66.0,,26443413.399267998,1.0,3.0,3.0,20,90,0.0,122.0,1.0,19.7,,,5,3,,1,,20.0,11,2015
