TUCASEID,TULINENO,EUFSP,EUGENHTH,EUHGT,EUINCOME2,ETWGT,ETHGT,EUINCLVL,EUFINLWGT,ERSPEMCH,ERC19NUM,EXINCOME1,ERINCOME,EEINCOME1,EUPRPMEL,EUGROSHP,ERTSEAT,ERTSDRK,ERTPREAT,EUDRINK,EUWGT,EUEAT,ERHHCH,ERBMI,EXSCLBRK,EESCLBRK,EXSCLLCH,EESCLLCH,ERPLWC,ERPBWC,EREATAD,ERDRKAD
20070101070044,1,2,3,65,-1,0,0,2,  7519839.180415,-1,1,0,1,1,1,1,10,0,50,2,163,1,1,27.1,0,2,0,2,0,0,2,2
20070101070048,1,2,3,64,2,0,0,2, 17453556.255085,-1,0,0,5,2,1,1,0,0,60,2,140,2,3,24,-1,-1,-1,-1,-1,-1,2,2
20070101070051,1,2,2,59,-1,0,0,2, 11243004.681754,-1,0,0,1,1,1,3,10,0,10,2,135,1,3,27.3,-1,-1,-1,-1,-1,-1,2,2
20070101070052,1,1,4,67,2,0,0,2, 25758210.458426,-1,2,0,5,2,1,1,0,0,90,2,280,2,3,43.8,0,1,0,1,1,1,2,2
20070101070067,1,2,3,62,1,-1,0,2, 48386023.804750,-1,1,0,3,2,2,3,5,0,135,2,-5,1,3,-1,41,2,41,1,1,0,2,2
20070101070077,1,1,4,65,2,0,0,2,  7041162.986044,-1,0,0,5,2,1,1,60,485,0,1,175,1,3,29.1,-1,-1,-1,-1,-1,-1,2,2
20070101070083,1,1,5,59,1,0,0,2,  2995550.016821,-1,0,0,3,2,1,2,120,60,0,1,180,1,3,36.4,-1,-1,-1,-1,-1,-1,2,2
20070101070084,1,2,3,65,-1,0,0,2,  5934685.845202,-1,1,0,1,1,1,1,33,1,45,1,177,1,3,29.5,0,2,0,2,0,0,2,2
20070101070088,1,2,4,58,2,0,0,2, 27694724.499474,-1,0,0,5,2,1,1,20,10,95,1,138,1,3,28.8,-1,-1,-1,-1,-1,-1,2,2
20070101070502,1,2,3,63,2,0,0,2,  9330588.505184,5,4,0,5,2,1,1,10,20,25,1,160,1,3,28.3,0,2,0,1,1,0,2,2
20070101070508,1,2,2,68,1,0,0,2,  4783339.232735,5,0,0,3,2,3,2,3,295,60,1,160,1,3,24.3,-1,-1,-1,-1,-1,-1,2,2
20070101070509,1,2,5,69,2,0,0,2,  1733066.066870,-1,0,0,5,2,1,1,0,0,45,2,180,2,3,26.6,-1,-1,-1,-1,-1,-1,2,2
20070101070512,1,1,4,64,2,0,0,2, 11319834.417429,-1,1,0,5,2,3,3,40,0,40,2,240,1,3,41.2,41,2,41,1,1,0,2,2
20070101070513,1,2,2,70,-1,0,0,2,  2676183.574830,5,2,0,1,1,2,2,20,1060,50,1,165,1,3,23.7,0,2,0,2,0,0,2,1
